Teores de Potassio
3
x
y
K (mg)
288	311	11.5
285.6	288	8.5
273.6	269	7
280.8	249	10.7
273.6	231	11.2
276	206	11.6
285.6	182	7.2
288	164	5.7
292.8	137	5.2
278.4	119	7.2
360	315	3.9
355.2	291	9.5
367.2	272	8.9
367.2	250	11.5
352.8	226	10.7
350.4	203	8.3
369.6	180	6.1
369.6	165	6.7
357.6	139	6.2
355.2	118	0
434.4	312	5.5
451.2	295	4
448.8	268	7
432	252	5.3
441.6	228	11.6
441.6	204	9
444	182	14.5
441.6	160	12.1
432	140	0.9
444	119	0
254.4	172	3.2
254.4	128	1.2
254.4	299	1.7
333.6	301	1.2
333.6	271	7.6
333.6	194	11.6
333.6	163	8.7
412.8	285	5.8
254.4	257	3.8
412.8	172	10.4
412.8	150	10
412.8	163	-999
492	282	7.1
492	249	4.4
492	315	10.4
492	150	1.6
492	163	-999
444	190	15
436.8	240	3.4
360	195	6.8
345.6	210	10.8
254.4	216	14.9
280.8	216	9.9
307.2	216	11.6
333.6	216	6.5
360	216	10.1
386.4	216	11.8
412.8	216	11
439.2	216	16.7
456.6	216	11.6
492	216	6.9
345.6	216	9.9
